,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
1,0,16.98345664,17.35472662,19.60669783,21.17112695,35.53959507,37.81541202,42.24615855,49.59713461,53.08749014,52.40760806,53.55464923,58.55152771,64.67202781,58.28915016,77.41560895,79.75648447,86.1616352,87.87720947,87.70609469,97.72678261,89.29140765,89.70122104,102.4223914,94.30589361,94.65254972,101.0152171,107.9396287,108.0565006,109.1167833,109.2243268,107.9468551,108.1896569,114.6929661,114.8903586,116.1604556,117.2007544,119.014,131.9634773,145.747876,195.3043182,163.4631169,103.1929192
2,16.98345664,0,2.041368501,8.303999187,22.17706157,29.72807177,23.60239914,30.45471682,42.58713443,37.78557086,36.22097764,36.92989719,46.99721595,57.63981762,52.30766747,68.0850578,71.16021057,76.92429082,74.11346228,73.80676923,82.76793336,82.00814421,82.43772667,93.76086436,84.63202016,84.96339669,91.27722887,100.5266071,100.4171411,101.3625043,101.5600139,101.9312012,102.1731563,106.7640483,106.964373,108.0580666,109.007934,110.688547,124.8933669,145.2891031,193.9140019,153.5920676,97.41857649
3,17.35472662,2.041368501,0,6.263699825,20.50076157,27.68796787,22.07030176,28.63808048,40.56271749,36.56594021,35.29499618,36.23660398,45.2149878,55.62975243,50.27442214,66.17589322,69.21671763,75.01787312,72.64237736,72.35700838,81.52586269,80.02067869,80.44983974,91.83532226,82.75693682,83.08949544,89.41057479,98.55149158,98.45027506,99.40042955,99.59453472,99.91680886,100.1588412,104.8110536,105.0113299,106.1129189,107.067121,108.7543757,122.9135941,143.2727068,191.8802058,151.7581752,95.39817828
4,19.60669783,8.303999187,6.263699825,0,15.72427523,21.42427059,18.20949641,23.43662935,34.40491853,33.54008376,33.31009139,35.00884812,40.03723837,49.52948608,44.06949255,60.4681006,63.37544924,69.31222305,68.48865865,68.27748245,78.12292428,74.00363073,74.43099867,86.04837878,77.16064688,77.49725701,83.83996853,92.57694652,92.50697822,93.4748907,93.65615167,93.78844034,94.03076079,98.91788691,99.11792861,100.2484141,101.2182984,102.9294051,116.9168706,137.0564288,185.6243884,146.2765154,89.24543531
5,21.17112695,22.17706157,20.50076157,15.72427523,0,15.78387173,27.24283619,27.09211642,29.4717924,42.22507921,44.0378351,46.83771369,41.43253689,44.14114544,37.50451991,57.78598571,59.68092014,66.33872502,72.2717134,72.30546922,83.88478565,68.58541871,68.98632163,82.14831252,74.6343358,74.98611436,81.30989414,87.17616919,87.36129533,88.45384994,88.5319279,86.88071825,87.12318521,94.06407047,94.25965136,95.58559279,96.65402702,98.50870658,111.0434038,125.4196258,174.7150985,143.4893605,82.10292529
6,35.53959507,29.72807177,27.68796787,21.42427059,15.78387173,0,19.8035321,14.67577931,14.05778663,31.48365454,35.15059712,38.96277519,26.1785524,29.18333663,23.08134279,42.14250715,44.26604359,50.78775604,57.2405506,57.36129583,69.5358591,53.84122784,54.25619191,66.8959697,59.02819339,59.37838331,65.72326567,72.50289946,72.57799168,73.62237522,73.74346734,72.9949235,73.23801488,79.18260608,79.38050817,80.63482494,81.66949678,83.47716948,96.65424152,115.8362661,164.2328996,128.0581167,68.34767916
7,37.81541202,23.60239914,22.07030176,18.20949641,27.24283619,19.8035321,0,9.29441344,25.98158318,15.57287833,16.80358433,19.88626406,24.26981306,38.97520544,35.53618047,46.46295125,50.09374849,55.14997893,50.58103407,50.31074349,59.91387876,61.83042738,62.26605645,72.1309125,62.39285025,62.70885867,68.90939062,79.80786593,79.50748814,80.34170798,80.61096929,82.46094846,82.69687817,85.52418942,85.72422013,86.66579835,87.53486531,89.09664933,104.13067,130.8859876,177.8851877,130.793427,78.28945112
8,42.24615855,30.45471682,28.63808048,23.43662935,27.09211642,14.67577931,9.29441344,0,17.00246036,16.8335559,20.96432691,25.10511107,16.61345866,29.69056482,26.34189942,37.91343795,41.31181704,46.70716789,45.88594541,45.80377129,56.88410576,52.82097545,53.25634326,63.64753096,54.25316075,54.58050109,60.87069707,70.98288407,70.7435146,71.61762886,71.86223568,73.35333561,73.59059945,76.89000854,77.09043215,78.09553643,79.00071329,80.61844054,95.35162907,121.6604154,168.5909089,123.1381013,69.12505128
9,49.59713461,42.58713443,40.56271749,34.40491853,29.4717924,14.05778663,25.98158318,17.00246036,0,30.97993399,36.4449006,40.91040993,17.15948354,15.22712523,9.887663834,28.35058145,30.24990073,36.86700176,46.99065706,47.31944164,60.47770943,39.87538526,40.29472238,52.84452088,45.16817507,45.52032423,51.83908393,58.53198643,58.57396777,59.60521888,59.7371194,59.38956507,59.63204948,65.15144389,65.34971872,66.5911043,67.62092888,69.4234355,82.75770662,105.0435613,152.5385861,114.0662022,54.84126194
10,53.08749014,37.78557086,36.56594021,33.54008376,42.22507921,31.48365454,15.57287833,16.8335559,30.97993399,0,6.33332676,10.81168301,19.47185325,39.02347573,38.34534637,41.01873012,45.38321382,48.80922988,37.20777488,36.7434734,44.98247045,57.78142571,58.20284676,65.32967899,54.76453359,55.03545017,60.77863431,74.24319288,73.6626358,74.30094381,74.67373462,78.53924202,78.76010682,79.00310192,79.19786672,79.87227846,80.58925036,81.91954821,97.95476379,131.1807742,176.1899648,120.8354135,74.93888577
11,52.40760806,36.22097764,35.29499618,33.31009139,44.0378351,35.15059712,16.80358433,20.96432691,36.4449006,6.33332676,0,4.567585529,25.79790097,45.24213171,44.27335507,47.26069695,51.65754199,54.9295287,41.29656649,40.70625724,47.44338332,64.06400654,64.48393391,71.32027179,60.66925951,60.9308898,66.55858295,80.36834405,79.7568173,80.36942918,80.75426978,84.79925026,85.01889938,84.99443548,85.18794817,85.82019141,86.51103902,87.79911066,103.957803,137.4949266,182.5108179,125.9581251,81.23364508
12,53.55464923,36.92989719,36.23660398,35.00884812,46.83771369,38.96277519,19.88626406,25.10511107,40.91040993,10.81168301,4.567585529,0,30.27361453,49.79554083,48.82957823,51.4687109,55.91311184,58.96970918,43.67986967,43.00209621,48.5659893,68.32710591,68.74403391,75.19372843,64.46579412,64.71752511,70.2207725,84.3917511,83.74234998,84.32373743,84.72266305,89.01371488,89.23120522,88.85665358,89.04862039,89.63380263,90.29580553,91.53785868,107.8217917,141.9882757,186.8503779,128.9398172,85.5150221
13,58.55152771,46.99721595,45.2149878,40.03723837,41.43253689,26.1785524,24.26981306,16.61345866,17.15948354,19.47185325,25.79790097,30.27361453,0,19.98434473,20.92878255,22.56643093,26.58906344,31.05101156,31.07283699,31.22295146,43.80344365,38.82694803,39.25687652,48.00870948,38.12883252,38.44322842,44.64057564,56.11911013,55.70558663,56.47158543,56.77913345,59.65236566,59.87973941,61.51864871,61.71777429,62.59057756,63.42577188,64.94250816,80.28461072,111.7157789,156.8730768,106.6690743,55.84574461
14,64.67202781,57.63981762,55.62975243,49.52948608,44.14114544,29.18333663,38.97520544,29.69056482,15.22712523,39.02347573,45.24213171,49.79554083,19.98434473,0,7.076298438,15.55659731,16.01965193,23.00448331,41.09202198,41.74605564,55.60923414,24.66224712,25.07917329,38.04370091,31.37111082,31.72410769,37.85449245,43.32380311,43.39627454,44.44713781,44.5624118,44.29957363,44.54116225,50.02131014,50.21860741,51.49997918,52.55173032,54.3879781,67.5306556,92.59450993,138.9610948,99.47085747,39.84341413
15,58.28915016,52.30766747,50.27442214,44.06949255,37.50451991,23.08134279,35.53618047,26.34189942,9.887663834,38.34534637,44.27335507,48.82957823,20.92878255,7.076298438,0,22.47557278,23.0921681,30.08077368,46.33334877,46.88215138,60.6259172,31.0809314,31.48190565,44.91027572,38.44670241,38.79962371,44.91788521,49.6850333,49.856989,50.95016649,51.02755924,49.91385311,50.15693525,56.5638112,56.75905227,58.09818016,59.17603224,61.0473403,73.68149724,95.35176104,142.6738814,106.3641329,45.27813025
16,77.41560895,68.0850578,66.17589322,60.4681006,57.78598571,42.14250715,46.46295125,37.91343795,28.35058145,41.01873012,47.26069695,51.4687109,22.56643093,15.55659731,22.47557278,0,4.645262661,8.844844845,28.8588474,29.74413529,43.35602558,16.9332207,17.33906292,25.73414152,16.897392,17.24588823,23.60362935,33.5543217,33.14487294,33.92906819,34.2250536,37.54596391,37.76412982,39.06179435,39.26177184,40.21296786,41.10009363,42.70543846,57.74254181,92.18151117,135.5473909,86.06034185,34.12702375
17,79.75648447,71.16021057,69.21671763,63.37544924,59.68092014,44.26604359,50.09374849,41.31181704,30.24990073,45.38321382,51.65754199,55.91311184,26.58906344,16.01965193,23.0921681,4.645262661,0,7.028999666,32.53788952,33.48327702,46.84731521,12.41440095,12.83092909,22.71897022,15.36058107,15.71287404,21.84462383,29.71425042,29.43486071,30.30712309,30.55089245,33.16444237,33.38709597,35.62465495,35.82512639,36.897987,37.85113012,39.55399938,54.05224371,87.53647632,131.0115248,83.8181449,29.61026365
