Grid_id,DEMAND_2
1,0
2,0
3,0
4,0
5,0
6,0
7,349.1714628
8,0
9,307.0300793
10,145.9982514
11,0
12,0
13,340.1411663
14,415.3936368
15,0
16,0
17,0
18,5631.361124
19,0
20,0
21,0
22,287.5
23,0
24,296.649488
25,0
26,0
27,0
28,0
29,5654
30,6994
31,0
32,1186
33,965
34,0
35,630
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
